id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
23668217,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.27,$191.00 ,Entire home/apt,1,2,2
23610320,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.26,$200.00 ,Entire home/apt,2.5,3,3
24922899,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,26.75,$245.00 ,Entire home/apt,1,1,1
30110367,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,24.01,$185.00 ,Entire home/apt,1,0,2
21179793,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.08,$170.00 ,Entire home/apt,1,1,1
23311596,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.84,$150.00 ,Entire home/apt,1,0,1
22737294,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.57,$175.00 ,Entire home/apt,1,0,1
28940121,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.44,$250.00 ,Entire home/apt,2,3,3
23294252,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.06,$220.00 ,Entire home/apt,2,3,3
14875226,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.64,$150.00 ,Entire home/apt,1,1,3
20040248,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.47,$150.00 ,Entire home/apt,1,3,3
31008737,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.49,$194.00 ,Entire home/apt,1,1,1
30824080,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.67,$194.00 ,Entire home/apt,1,1,1
23470726,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.38,$230.00 ,Entire home/apt,2,2,2
30514036,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.63,$202.00 ,Entire home/apt,1,2,4
19335117,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.73,$240.00 ,Entire home/apt,2.5,4,5
11743983,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.10,$165.00 ,Entire home/apt,1,1,1
21373955,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.80,$207.00 ,Entire home/apt,1,0,1
5622967,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.15,$175.00 ,Entire home/apt,1,1,2
11781126,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.75,$180.00 ,Entire home/apt,1,2,2
16757055,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.84,$290.00 ,Entire home/apt,2,3,4
19831292,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.58,$260.00 ,Entire home/apt,2,2,3
29597541,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.44,$230.00 ,Entire home/apt,2,3,3
20973038,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.06,$264.00 ,Entire home/apt,1,1,1
16054025,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,25.43,$216.00 ,Entire home/apt,1,3,4
2521456,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.91,$250.00 ,Private room,1,2,2
31725216,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,24.75,$190.00 ,Entire home/apt,1,1,1
28127609,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.91,$250.00 ,Entire home/apt,2,2,2
22485768,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.95,$180.00 ,Entire home/apt,1,1,1
33496183,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.41,$240.00 ,Private room,1,2,2
29015914,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.43,$299.00 ,Entire home/apt,2,3,5
32458190,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.32,$248.00 ,Entire home/apt,1,2,3
30776990,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.24,$300.00 ,Entire home/apt,2,3,4
32926480,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.24,$270.00 ,Entire home/apt,1,0,1
30824064,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.28,$204.00 ,Entire home/apt,1,1,1
29264850,Australia,NSW,BALLINA SHIRE COUNCIL,House,30.25,$321.00 ,Entire home/apt,2,3,3
23062742,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,26.27,$306.00 ,Private room,1,1,2
19256406,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.74,$275.00 ,Private room,1,2,3
17499186,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.04,$339.00 ,Entire home/apt,3,3,3
21384984,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.98,$211.00 ,Entire home/apt,2,1,2
17530393,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.00,$204.00 ,Entire home/apt,2,1,1
22752258,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.33,$355.00 ,Entire home/apt,1,1,1
17794437,Australia,New South Wales,BALLINA SHIRE COUNCIL,Apartment,28.50,$329.00 ,Entire home/apt,1,1,1
28591264,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.70,$289.00 ,Entire home/apt,1,1,1
16530860,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.40,$280.00 ,Entire home/apt,2,2,2
31132884,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.44,$250.00 ,Entire home/apt,1,1,1
5163899,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.46,$209.00 ,Entire home/apt,2.5,3,3
31571822,Australia,,BALLINA SHIRE COUNCIL,House,25.87,$242.00 ,Entire home/apt,1,2,3
20196357,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.19,$349.00 ,Entire home/apt,1.5,4,5
33024129,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.62,$210.00 ,Entire home/apt,1,1,1
30964165,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.25,$291.00 ,Private room,1,1,1
33535366,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.10,$254.00 ,Entire home/apt,1,1,2
4078002,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.22,$299.00 ,Entire home/apt,2,4,7
2406659,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.95,$398.00 ,Entire home/apt,1,2,2
8132438,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.53,$254.00 ,Entire home/apt,2,2,3
22053740,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,31.43,$401.00 ,Entire home/apt,1,2,2
19911991,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.22,$280.00 ,Entire home/apt,2,3,4
32595129,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.77,$286.00 ,Entire home/apt,1,1,1
30697417,Australia,,BALLINA SHIRE COUNCIL,House,31.72,$383.00 ,Entire home/apt,2,2,3
28056773,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.46,$245.00 ,Entire home/apt,1,0,1
30802888,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.18,$250.00 ,Entire home/apt,1,1,1
22192023,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.38,$359.00 ,Private room,1.5,2,3
32244522,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.85,$421.00 ,Entire home/apt,1,1,1
4646286,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.06,$244.00 ,Entire home/apt,1,2,2
27232433,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.21,$255.00 ,Entire home/apt,2.5,3,3
29405088,Australia,NSW,BALLINA SHIRE COUNCIL,Loft,25.90,$319.00 ,Entire home/apt,1,1,1
30185550,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.50,$370.00 ,Entire home/apt,2,4,5
8581503,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,30.02,$350.00 ,Entire home/apt,1,2,2
15437061,Australia,NSW,BALLINA SHIRE COUNCIL,House,29.03,$410.00 ,Entire home/apt,1,3,4
29947774,Australia,NSW,BALLINA SHIRE COUNCIL,House,30.44,$316.00 ,Entire home/apt,1,2,2
21114489,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,27.19,$349.00 ,Entire home/apt,1,1,1
26874979,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.51,$360.00 ,Entire home/apt,2,3,6
21345931,Australia,NSW,BALLINA SHIRE COUNCIL,House,34.10,$480.00 ,Entire home/apt,2,3,3
17967737,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,32.06,$450.00 ,Entire home/apt,1,2,3
16137090,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.11,$305.00 ,Entire home/apt,1,1,2
29764809,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,34.41,$475.00 ,Entire home/apt,1,1,2
23984416,Australia,NSW,BALLINA SHIRE COUNCIL,House,31.40,$400.00 ,Entire home/apt,2.5,2,2
18254182,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,29.04,$335.00 ,Entire home/apt,2,3,3
26673351,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,26.92,$298.00 ,Entire home/apt,1,2,2
12523903,Australia,NSW,BALLINA SHIRE COUNCIL,Loft,33.00,$400.00 ,Entire home/apt,1,1,1
30098089,Australia,NSW,BALLINA SHIRE COUNCIL,House,33.12,$450.00 ,Entire home/apt,2.5,5,6
23633402,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.68,$289.00 ,Entire home/apt,1,1,1
15793424,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,25.56,$335.00 ,Entire home/apt,1,1,2
29065279,Australia,NSW,BALLINA SHIRE COUNCIL,House,30.33,$499.00 ,Entire home/apt,2.5,5,6
26928490,Australia,NSW,BALLINA SHIRE COUNCIL,House,35.71,$500.00 ,Entire home/apt,2,3,3
10078915,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,33.70,$500.00 ,Entire home/apt,1,1,2
21843205,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,33.57,$420.00 ,Entire home/apt,1,2,2
9050232,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.64,$470.00 ,Entire home/apt,1,2,2
29130916,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.64,$299.00 ,Entire home/apt,1.5,3,4
917015,Australia,NSW,BALLINA SHIRE COUNCIL,House,36.97,$550.00 ,Entire home/apt,3,4,4
8907191,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,29.40,$335.00 ,Entire home/apt,2,3,4
12813063,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.91,$380.00 ,Entire home/apt,1,2,2
18921400,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,32.58,$500.00 ,Entire home/apt,3,4,6
30779619,Australia,NSW,BALLINA SHIRE COUNCIL,Camper/RV,29.70,$339.00 ,Entire home/apt,0,0,2
